TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T0001,C001,1988-04-15,F,Toronto,12500.50,2026-08-01,91530,245.75
T0002,C002,1992-11-03,M,Mississauga,8400.00,2026-08-01,103045,1200.00
T0003,C003,1985-06-21,F,Hamilton,22450.10,2026-08-01,111512,560.25
T0004,C004,1990-01-19,M,Ottawa,9100.75,2026-08-02,84510,95.50
T0005,C005,1995-09-08,F,Vancouver,15780.40,2026-08-02,132205,780.00
T0006,C006,1982-12-30,M,Calgary,30500.00,2026-08-02,151530,1450.80
T0007,C007,1989-03-17,F,Montreal,11220.20,2026-08-03,101245,320.45
T0008,C008,1993-07-11,M,Edmonton,7450.60,2026-08-03,164020,210.00
T0009,C009,1987-10-25,F,Winnipeg,18900.35,2026-08-03,175510,999.99
T0010,C010,1991-05-06,M,Halifax,13650.00,2026-08-04,93015,450.60
