Branch_ID,Branch_Name,City,Province,Region,Branch_Type,Staff_Count,Opening_Date
BR001,Downtown Toronto,Toronto,Ontario,Central,Urban,25,2010-05-15
BR002,Mississauga Central,Mississauga,Ontario,Central,Urban,20,2012-08-20
BR003,Hamilton Main,Hamilton,Ontario,Central,Urban,18,2014-03-10
BR004,Ottawa Centre,Ottawa,Ontario,East,Urban,22,2011-06-25
BR005,Vancouver Downtown,Vancouver,British Columbia,West,Urban,24,2009-09-12
BR006,Calgary Central,Calgary,Alberta,West,Urban,21,2013-04-18
BR007,Montreal Centre,Montreal,Quebec,East,Urban,23,2010-11-05
BR008,Edmonton Main,Edmonton,Alberta,West,Urban,17,2015-07-14
BR009,Winnipeg Central,Winnipeg,Manitoba,Central,Urban,16,2016-02-22
BR010,Halifax Downtown,Halifax,Nova Scotia,East,Urban,15,2017-10-09
BR011,Brampton Main,Brampton,Ontario,Central,Suburban,18,2018-05-17
BR012,Surrey Central,Surrey,British Columbia,West,Suburban,16,2019-08-26
